,OBJECTID_1,POINT_X,POINT_Y
487,975.0,-122.402803,47.57183812
488,977.0,-122.3420659,47.70867973
489,979.0,-122.3282553,47.52227079
490,981.0,-122.4128508,47.67111648
491,983.0,-122.2940353,47.74096451
492,985.0,-122.3274667,47.57152096
493,987.0,-122.3274689,47.57160827
494,989.0,-122.340503,47.61447294
495,991.0,-122.2984833,47.57752669
496,993.0,-122.3827026,47.58398338
497,995.0,-122.3821761,47.58397256
498,997.0,-122.3903446,47.64584034
499,999.0,-122.2808716,47.68164183
500,1001.0,-122.3367951,47.56288431
501,1003.0,-122.355411,47.47718696
502,1005.0,-122.3060032,47.66644977
503,1007.0,-122.3070771,47.66893623
504,1009.0,-122.2958092,47.54807931
505,1011.0,-122.3702008,47.71513767
506,1013.0,-122.3741445,47.64371676
507,1015.0,-122.2706261,47.66127446
508,1017.0,-122.3986283,47.69702437
509,1019.0,-122.404931,47.56698056
510,1021.0,-122.2912932,47.60225306
511,1023.0,-122.274531,47.56881884
512,1025.0,-122.3465483,47.45417719
513,1027.0,-122.281695,47.56073086
514,1029.0,-122.2817056,47.56132512
515,1031.0,-122.2718065,47.65952087
516,1033.0,-122.2742145,47.67576901
517,1035.0,-122.3580055,47.62609389
518,1037.0,-122.397976,47.57823571
519,1039.0,-122.317532,47.52938633
520,1041.0,-122.3265437,47.74627406
521,1043.0,-122.3505854,47.74555088
522,1045.0,-122.4000325,47.57759882
523,1047.0,-122.3259684,47.5924126
524,1049.0,-122.3259683,47.59254585
525,1051.0,-122.3048483,47.59520505
526,1053.0,-122.3223182,47.63049148
527,1055.0,-122.3036396,47.54714929
528,1057.0,-122.3492443,47.65358203
529,1059.0,-122.2638284,47.52527845
530,1061.0,-122.3491854,47.63570854
531,1063.0,-122.3119574,47.63800772
532,1065.0,-122.3734941,47.50460179
533,1067.0,-122.2807735,47.53898682
534,1069.0,-122.2806164,47.5388885
535,1071.0,-122.2641262,47.5150903
536,1073.0,-122.3573053,47.66237259
537,1075.0,-122.2875947,47.60923693
538,1077.0,-122.3941411,47.51405701
539,1079.0,-122.400887,47.65986669
540,1081.0,-122.3734617,47.56986885
541,1083.0,-122.4046349,47.64595779
542,1085.0,-122.3125607,47.50926384
543,1087.0,-122.3661147,47.71191547
544,1089.0,-122.2850923,47.64126541
545,1091.0,-122.3168562,47.76668339
546,1093.0,-122.3375328,47.45512677
547,1095.0,-122.2763656,47.68010739
548,1097.0,-122.3279118,47.6531383
549,1099.0,-122.3505678,47.64251995
550,1101.0,-122.3023146,47.57588539
551,1103.0,-122.2593778,47.5144446
552,1105.0,-122.2966832,47.75637625
553,1107.0,-122.3639374,47.77159371
554,1109.0,-122.2799903,47.56879832
555,1111.0,-122.2595004,47.50295622
556,1113.0,-122.2730511,47.69508882
557,1115.0,-122.2730031,47.69483663
558,1117.0,-122.3044168,47.72114843
559,1119.0,-122.4048196,47.67581535
560,1121.0,-122.404803,47.67702934
561,1123.0,-122.3006239,47.76164944
562,1125.0,-122.387665,47.63957401
563,1127.0,-122.335164,47.4848751
564,1129.0,-122.2449564,47.50294626
565,1131.0,-122.3846045,47.69972077
566,1133.0,-122.3683541,47.6335271
567,1135.0,-122.3559642,47.76261231
568,1137.0,-122.2991058,47.61763682
569,1139.0,-122.2720493,47.5382977
570,1141.0,-122.3372473,47.60525906
571,1143.0,-122.3374054,47.60519286
572,1145.0,-122.263466,47.53943627
573,1147.0,-122.4039447,47.57806419
574,1149.0,-122.3842121,47.59374579
575,1151.0,-122.3208336,47.72401935
576,1153.0,-122.3667154,47.63595431
577,1155.0,-122.3898529,47.77794466
578,1157.0,-122.3488306,47.63230546
579,1159.0,-122.2794417,47.6673338
580,1161.0,-122.2794279,47.6660944
581,1163.0,-122.2489391,47.51142405
582,1165.0,-122.2913024,47.51341682
583,1167.0,-122.2737214,47.5050843
584,1169.0,-122.2581947,47.50085363
585,1171.0,-122.2713996,47.5279099
586,1173.0,-122.3135988,47.5138118
587,1175.0,-122.3740115,47.64068262
588,1177.0,-122.3351225,47.58397939
589,1179.0,-122.2849157,47.74417466
590,1181.0,-122.2681646,47.5564298
591,1183.0,-122.2695033,47.67719282
592,1185.0,-122.2669171,47.55802095
593,1187.0,-122.3029628,47.68786239
594,1189.0,-122.347313,47.65095378
595,1191.0,-122.3280901,47.53669338
596,1193.0,-122.3447606,47.64224891
597,1195.0,-122.3472915,47.64452444
598,1197.0,-122.3618423,47.66791014
599,1199.0,-122.2863368,47.60408986
600,1201.0,-122.3268409,47.75957413
601,1203.0,-122.2964684,47.68667642
602,1205.0,-122.3193935,47.64448726
603,1207.0,-122.284963,47.52691813
604,1209.0,-122.3409553,47.60980035
605,1211.0,-122.3411106,47.60973559
606,1213.0,-122.3570425,47.53549964
607,1215.0,-122.2743834,47.45793924
608,1217.0,-122.274374,47.65426076
609,1219.0,-122.3281984,47.6051001
610,1221.0,-122.3280603,47.60515787
611,1223.0,-122.3283657,47.60503015
612,1225.0,-122.3284926,47.60497708
613,1227.0,-122.3278897,47.60522919
614,1229.0,-122.3804015,47.76146765
615,1231.0,-122.2701438,47.66659439
616,1233.0,-122.3432325,47.53668998
617,1235.0,-122.2828696,47.56976227
618,1237.0,-122.385954,47.77056089
619,1239.0,-122.2581849,47.67552961
620,1241.0,-122.2790508,47.69303928
621,1243.0,-122.3017359,47.66440806
622,1245.0,-122.3585293,47.51553025
623,1247.0,-122.2978935,47.6003764
624,1249.0,-122.3526131,47.5428395
625,1251.0,-122.3672681,47.51920011
626,1253.0,-122.3709281,47.55375828
627,1255.0,-122.2632658,47.6848337
628,1257.0,-122.371707,47.51173428
629,1259.0,-122.3418034,47.61524297
630,1261.0,-122.3002835,47.57808755
631,1263.0,-122.3892601,47.65031601
632,1265.0,-122.4029428,47.57909439
633,1267.0,-122.3214794,47.69889496
634,1269.0,-122.3800913,47.69825267
635,1271.0,-122.3514613,47.62783581
636,1273.0,-122.2915491,47.55711331
637,1275.0,-122.299038,47.62925248
638,1277.0,-122.3619986,47.7272024
639,1279.0,-122.37499,47.63595345
640,1281.0,-122.3792061,47.69825206
641,1283.0,-122.3171268,47.56084963
642,1285.0,-122.2677591,47.49703253
643,1287.0,-122.3161231,47.57424891
644,1289.0,-122.273216,47.69584598
645,1291.0,-122.2979278,47.73739716
646,1293.0,-122.2823846,47.48616485
647,1295.0,-122.3648039,47.77216951
648,1297.0,-122.3647103,47.7092976
649,1299.0,-122.3627943,47.70976456
650,1301.0,-122.3259886,47.57146777
651,1303.0,-122.3422373,47.61135831
652,1305.0,-122.3423656,47.61125915
653,1307.0,-122.3223258,47.65451574
654,1309.0,-122.3224739,47.6545172
655,1311.0,-122.3845845,47.55748158
656,1313.0,-122.3683802,47.63231305
657,1315.0,-122.3325329,47.66320501
658,1317.0,-122.2660736,47.45418132
659,1319.0,-122.2702371,47.65871558
660,1321.0,-122.3239703,47.56624758
661,1323.0,-122.3188201,47.55562191
662,1325.0,-122.3053923,47.6984738
663,1327.0,-122.3548878,47.56735371
664,1329.0,-122.3487756,47.70869624
665,1331.0,-122.3113385,47.58635553
666,1333.0,-122.2835806,47.46036132
667,1335.0,-122.2853516,47.61146516
668,1337.0,-122.3423024,47.53952452
669,1339.0,-122.3273288,47.70994325
670,1341.0,-122.258388,47.49744164
671,1343.0,-122.2637509,47.49929079
672,1345.0,-122.2600414,47.47586939
673,1347.0,-122.3358838,47.73059502
674,1349.0,-122.3735987,47.71447326
675,1351.0,-122.3242474,47.57175061
676,1353.0,-122.3592296,47.6291476
677,1355.0,-122.2851818,47.60685939
678,1357.0,-122.3889985,47.63770223
679,1359.0,-122.2716593,47.53979931
680,1361.0,-122.3099212,47.71757741
681,1363.0,-122.3576762,47.65042518
682,1365.0,-122.3316871,47.73784066
683,1367.0,-122.3578499,47.66319505
684,1369.0,-122.3745781,47.50239389
685,1371.0,-122.3744949,47.50179601
686,1373.0,-122.2913576,47.59009338
687,1375.0,-122.2705217,47.67719578
688,1377.0,-122.3021274,47.6434915
689,1379.0,-122.3751021,47.56684384
690,1381.0,-122.389803,47.67237733
691,1383.0,-122.3324934,47.73953519
692,1385.0,-122.3578612,47.75301789
693,1387.0,-122.3554908,47.48098343
694,1389.0,-122.3754478,47.77723905
695,1391.0,-122.3751082,47.57110762
696,1393.0,-122.3848593,47.5174936
697,1395.0,-122.3015188,47.67137493
698,1397.0,-122.3180544,47.48040621
699,1399.0,-122.305853,47.55478745
700,1401.0,-122.2742319,47.52382406
701,1403.0,-122.3501632,47.64561394
702,1405.0,-122.4038524,47.56853575
703,1407.0,-122.276041,47.66772987
704,1409.0,-122.3097915,47.58004526
705,1411.0,-122.3657174,47.63007457
706,1413.0,-122.3355423,47.73718903
707,1415.0,-122.3147485,47.57004534
708,1417.0,-122.2865429,47.76490213
709,1419.0,-122.2883857,47.49236782
710,1421.0,-122.3173176,47.54848366
711,1423.0,-122.4025722,47.67343561
712,1425.0,-122.3865558,47.76702844
713,1427.0,-122.2866819,47.73554342
714,1429.0,-122.3124445,47.76309659
715,1431.0,-122.3034729,47.70755622
716,1433.0,-122.3506846,47.74140646
717,1435.0,-122.3431389,47.61243515
718,1437.0,-122.3740129,47.77561431
719,1439.0,-122.3301798,47.47950566
720,1441.0,-122.390006,47.54485074
721,1443.0,-122.3297727,47.61104698
722,1445.0,-122.3021489,47.63707005
723,1447.0,-122.3127061,47.58891553
