,Unnamed: 0,gsv_panorama_id,width,height,lat,lng,camera_heading,camera_pitch,intersection_id
7210,7210,agxdwoZN6DoQo4FzgpNENA,16384.0,8192.0,47.5477409362793,-122.30076599121094,348.27880859375,0.2305984497070312,60755
7905,7905,TvK294AkfrO8nuVvdCPjbQ,16384.0,8192.0,47.54774856567383,-122.31771850585938,76.52662658691406,0.2210693359375,23089
10637,10637,3e8YwcIWq6_pxSKnDd2EYw,16384.0,8192.0,47.54775238037109,-122.30081176757812,308.94940185546875,-0.1495132446289062,60755
23526,23526,B2p3-4VgcKd_tuoKFDr66g,16384.0,8192.0,47.547760009765625,-122.30077362060548,348.5155639648437,-0.3210799992084503,60755
17731,17731,KxYCK0tIkkKQv-QvQ3dZnA,16384.0,8192.0,47.54777526855469,-122.3177490234375,320.8699645996094,0.0432099997997283,23089
13744,13744,YpW014yvhh0qfqnr5R3doQ,16384.0,8192.0,47.54778289794922,-122.30078887939452,347.9698181152344,1.3239288330078125,60755
13533,13533,SD8c9e442ddvEsY4qWE5ng,16384.0,8192.0,47.54778289794922,-122.30078125,348.2526550292969,0.2478713989257812,60755
27977,27977,Ku-Batcvcwa4V_lQwP7w7Q,16384.0,8192.0,47.54778671264648,-122.30072021484376,269.416748046875,0.2071075439453125,60755
4340,4340,3sT-PD1J8nQjaZ1asyT1oA,16384.0,8192.0,47.54780197143555,-122.31735229492188,80.5436782836914,-0.0235900003463029,19390
25504,25504,u3qjiG7k5lR9nt4EkMT1yw,16384.0,8192.0,47.54783248901367,-122.31731414794922,35.44686508178711,-0.05157470703125,19390
4269,4269,X_ovEBU2hX3Pvw8WtSR5xQ,16384.0,8192.0,47.54785537719727,-122.28658294677734,161.98973083496094,1.0532302856445312,27340
22805,22805,R5Sex70rYT_fmapuyQm4OA,16384.0,8192.0,47.5478744506836,-122.3162078857422,108.48727416992188,-0.5460360050201416,43327
5255,5255,QHSSzi6TWMZb0wO-pirsmg,16384.0,8192.0,47.54789352416992,-122.28763580322266,167.46339416503906,2.6373291015625,27313
